iter	RMSE
134	845.4557412
135	844.2004782
136	843.1864034
137	842.3467331
138	842.0162971
139	841.3290432
140	839.1678137
141	838.462023
142	838.0679229
143	837.2600819
144	835.6550358
145	835.3605316
146	834.2974874
147	833.2335767
148	832.8010468
149	831.6542816
150	831.2442162
151	830.5913094
152	830.0181352
153	827.9673774
154	826.2191937
155	825.9793866
156	825.3861292
157	825.2351479
158	824.8819388
159	824.1694796
160	823.6772695
161	823.3080138
162	823.0827437
163	822.5590448
164	822.0228786
165	821.7745546
166	821.0000775
167	819.5111697
168	818.2507341
169	817.4205221
170	817.1920469
171	817.1684089
172	816.0763791
173	815.6627197
174	814.9709038
175	814.8162575
176	814.3422862
177	813.5316437
178	813.1739502
179	812.9513218
180	812.7623559
181	812.0211699
182	811.9027849
183	811.1226892
184	811.0331319
185	810.7255701
186	810.4942922
187	810.0143218
188	809.365937
189	809.0348299
190	808.7587223
191	808.0103029
192	807.6200482
193	807.0443132
194	806.2727393
195	806.1993973
196	803.3892373
197	802.9095208
198	802.0672277
199	801.3597837
200	800.7213729
201	800.178544
202	799.2938253
203	799.2402394
204	798.9124399
205	797.9038605
206	797.1461867
207	796.5175651
208	795.1530048
209	794.8122862
210	794.4885488
211	794.1268065
212	793.9140856
213	793.3203326
214	792.7446072
215	792.4420378
216	791.8930249
217	791.0856834
218	789.1616337
219	788.6545158
220	787.766097
221	787.6075898
222	787.173854
223	787.0286215
224	786.6080837
225	786.4689005
226	786.2868329
227	786.0245535
228	785.1370924
229	784.6726149
230	784.6326135
231	784.4798996
232	784.1239604
233	783.7371715
234	782.7341157
235	782.4117727
236	781.9412241
237	781.5525911
238	781.0048462
239	780.7155067
240	780.1706108
241	779.9204185
242	779.451951
243	778.3995585
244	778.1071286
245	776.9363487
246	776.7437487
247	776.3795157
248	776.3369766
249	776.1049865
250	775.5891518
251	775.5211103
252	774.8340542
253	774.3186336
254	773.8986817
255	773.496118
256	772.8339399
257	772.3584918
258	771.6712317
259	771.3554716
260	770.2922863
261	770.0680922
262	769.6787483
263	768.8737337
264	768.8117421
265	768.4783118
266	767.8611055
267	767.4288909
268	766.9632395
269	766.0210562
270	765.6203517
271	764.1696509
272	763.9054007
273	763.3664303
274	762.4513062
275	762.0161732
276	761.826952
277	761.0260104
278	759.7502366
279	759.314769
280	758.7951424
281	758.45548
282	758.2169184
283	757.9919336
284	757.9106628
285	757.3218968
286	756.4508861
287	756.2919613
288	756.0401456
289	755.6321318
290	755.1460577
291	754.7073985
292	754.5073515
293	754.2257756
294	752.7812465
295	752.34497
296	751.9015323
297	751.4857182
298	751.2450788
299	751.1880708
300	751.0243738
301	750.6318697
302	750.309858
303	749.3670445
304	749.1686192
305	748.426816
306	747.7927937
307	747.4980354
308	747.2139084
309	745.9444752
310	745.7206349
311	745.2747337
312	744.8098074
313	744.2652944
314	743.5165555
315	743.40333
316	742.9830878
317	742.9613211
318	742.7177663
319	742.5809829
320	742.2763366
321	741.7307079
322	741.5745467
323	741.2074108
324	740.8678489
325	740.4375202
326	740.2443458
327	739.8896467
328	739.7601608
329	739.6073701
330	739.4768912
331	739.0122177
332	738.9473559
333	737.8526381
334	737.6621097
335	737.6169958
336	737.4315869
337	737.1865051
338	736.0828395
339	735.7449872
340	734.7551425
341	734.1578039
342	733.6143954
343	733.4300291
344	733.1127638
345	732.5643863
346	732.0448362
347	732.0009641
348	731.9586734
349	731.5358814
350	731.2841185
351	731.2546655
352	731.0473123
353	730.9613492
354	730.6861026
355	729.9403911
356	729.6669718
357	729.3317988
358	728.7881487
359	728.6628379
360	728.1899615
361	727.7588966
362	727.5391072
363	727.1441399
364	726.7955316
365	726.0793298
366	725.0932752
367	724.4008952
368	724.2765338
369	724.1053274
370	723.5521471
371	723.5056838
372	722.9762129
373	722.7520122
374	722.4733526
375	722.3382316
376	721.6494171
377	721.5356111
378	721.1837999
379	720.9279541
380	720.780631
381	720.4636045
382	720.365699
383	720.029077
384	719.1419078
385	718.689381
386	718.469539
387	718.2384912
388	717.9756095
389	717.8572356
390	717.8051192
391	717.4890088
392	717.0134989
393	716.9499656
394	716.7613259
395	716.6268384
396	715.9166517
397	715.7960269
398	715.3029532
399	715.0039863
400	714.854443
401	714.3112913
402	714.0639257
403	713.7091066
404	713.5005305
405	713.4005694
406	712.6906248
407	712.2893539
408	711.9263848
409	710.8631986
410	710.3941849
411	710.3752108
412	710.0199978
413	709.2153893
414	708.7532617
415	708.6735101
416	708.6380323
417	706.4553065
418	706.1037638
419	706.0518828
420	705.8783467
421	705.6971892
422	705.0887234
423	704.8637838
424	704.4575953
425	704.4015489
426	704.3839335
427	704.3529429
428	703.7483904
429	703.6381546
430	703.5891893
431	702.8419226
432	702.5741748
433	702.4341374
434	701.8637289
435	701.6654447
436	701.025799
437	700.9375607
438	700.5850272
439	700.1043378
440	700.0066378
441	699.9092169
442	699.8101044
443	698.5929626
444	698.0925994
445	698.0793838
446	697.7371949
447	697.5100991
448	696.9162189
449	696.429596
450	696.307394
451	696.0233001
452	695.7368855
453	695.1994815
454	695.1721905
455	694.900194
456	694.7632272
457	694.4919903
458	694.3419133
459	694.0022438
460	693.732122
461	693.3188122
462	692.9581684
463	692.6441631
464	692.5757996
465	691.9201187
466	691.4096534
467	691.1810024
468	691.1347758
469	690.9866684
470	690.7044109
471	690.6026197
472	690.2672459
473	689.2651527
474	688.7072129
475	688.2780593
476	687.5012437
477	686.942965
478	686.7401134
479	686.4709172
480	686.2738401
481	686.2619158
482	686.0058175
483	685.8429731
484	685.019682
485	684.8587982
486	684.6125189
487	684.5181787
488	684.3740822
489	684.0526477
490	683.5816679
491	683.0500199
492	682.8487154
493	682.6497839
494	682.4195234
495	682.1221758
496	681.9457033
497	681.8589943
498	681.5871988
499	681.521608
500	680.9898757
501	680.8799929
502	680.4519999
503	680.1941774
504	680.1542371
505	679.8491244
506	679.6190875
507	679.5326205
508	679.1522615
509	678.9168115
510	678.5570171
511	678.5163702
512	677.7744222
513	677.5708534
514	677.3014076
515	677.1230656
516	677.1056149
517	677.0203294
518	676.7816679
519	676.7567024
520	676.6540572
521	676.2169322
522	676.2043493
523	676.0901877
524	676.0412797
525	675.995921
526	675.6617705
527	675.4305232
528	674.736931
529	674.4503493
530	673.8707357
531	673.0139422
532	672.7492252
533	671.1795589
534	670.9936245
535	670.9381447
536	670.685859
537	670.5947345
538	670.4338097
539	670.3133568
540	668.8710556
541	668.7183289
542	668.1209221
543	667.134755
544	666.8773762
545	666.5339263
546	666.4648847
547	666.2083828
548	665.8738605
549	665.5928006
550	665.3889341
551	665.3744325
552	665.2313562
553	665.0828258
554	665.0623844
555	664.856479
556	663.8976694
557	663.2168447
558	663.1157805
559	662.7256627
560	662.6009618
561	662.4991988
562	661.3846268
563	661.044589
564	660.9513776
565	660.7099752
566	660.6227574
567	660.6206636
568	660.4455518
569	660.2579998
570	660.0178808
571	659.9239427
572	659.2626301
573	658.7818385
574	658.5370692
575	658.4320914
576	658.2632726
577	658.1757533
578	657.9217367
579	657.3006643
580	657.2348213
581	657.0525132
582	656.8398602
583	656.5548836
584	656.464787
585	656.1859636
586	655.2936097
587	655.0943531
588	654.952405
589	654.7412755
590	654.3261375
591	654.1430072
592	653.9396664
593	653.3409684
594	653.1566856
595	652.6448821
596	652.3675177
597	652.2171461
598	651.901132
599	651.6581387
600	651.5032854
601	651.3450699
602	650.9415232
603	650.7275013
604	650.1873893
605	650.0813964
606	649.9990833
607	649.9733158
608	649.5336825
609	649.4132219
610	649.3226873
611	649.2032599
612	648.9298212
613	648.0117987
614	647.5448071
615	647.4867805
616	647.454559
617	647.2502858
618	646.9514978
619	646.8359507
620	646.7274994
621	646.5355397
622	645.9447816
623	645.8675433
624	645.7980065
625	645.7456327
626	645.2080525
627	645.0523449
628	644.7643889
629	644.7300529
630	644.5258026
631	644.4022016
632	644.2222908
633	644.0770206
634	643.9081158
635	643.7927896
636	643.5753928
637	643.318246
638	643.2084962
639	642.9041985
640	642.5722805
641	642.4241402
642	642.3582583
643	642.1436707
644	641.9675073
645	641.2897872
646	641.0830825
647	640.7709741
648	640.5507385
649	640.3342968
650	640.233777
651	640.1833331
652	640.1751129
653	639.6829897
654	639.6135406
655	639.4800316
656	639.3905641
657	639.2316229
658	638.730119
659	638.2342485
660	638.0438589
661	637.9383872
662	637.76196
663	637.4291308
664	636.4662442
665	636.1801352
666	635.8962292
667	635.8249345
668	635.7018484
669	635.5111366
670	635.4163189
671	635.2590026
672	635.2177966
673	635.0161327
674	634.9629001
675	634.8241807
676	634.6974359
677	634.6537646
678	634.3088842
679	633.9023219
680	633.6669746
681	633.5980236
682	633.5543584
683	633.3010405
684	633.2134328
685	633.0993078
686	632.9680984
687	632.507498
688	632.3183941
689	632.1929173
690	632.0962651
691	631.9007515
692	631.8063627
693	630.9222719
694	630.7363407
695	630.5990151
696	630.471227
697	630.470687
698	630.3154748
699	630.1142152
700	630.0300717
701	629.586366
702	629.1173395
703	629.0295595
704	629.0095265
705	628.924589
706	628.5382337
707	628.3923145
708	628.3135332
709	627.783604
710	627.6677717
711	627.5116362
712	627.4222114
713	627.242439
714	627.1151898
715	626.5147662
716	626.0445305
717	625.9569833
718	625.8088686
719	625.6296346
720	625.5920072
721	625.569737
722	625.5654645
723	625.4767835
724	625.3595725
725	625.0724346
726	624.7859504
727	624.7527172
728	624.6294172
729	624.5938665
730	624.3763252
731	624.2371778
732	623.9131284
733	623.8570292
734	623.8042193
735	623.4456662
736	623.3064039
737	623.225836
738	623.1388025
739	623.0232831
740	622.7260856
741	622.6709313
742	622.4840598
743	622.4490879
744	622.377376
745	622.2803474
746	622.1583197
747	622.0905341
748	621.9180333
749	621.5358715
750	621.3789082
751	621.0321987
752	620.7360774
753	620.3786482
754	620.2713069
755	620.1380921
756	619.8349449
757	619.776905
758	619.7277542
759	619.6165377
760	619.4142422
761	619.3077359
762	619.1730327
763	619.1083595
764	618.9388746
765	618.6439713
766	618.6170707
767	618.2972777
768	618.0672755
769	617.6884994
770	617.5351038
771	617.1767852
772	617.0077486
773	616.8780967
774	616.8614529
775	616.6502271
776	616.4810975
777	616.4764494
778	616.3365573
779	616.2006303
780	616.0729587
781	615.9999764
782	615.8257281
783	615.3096567
784	615.1123266
785	614.9192181
786	614.7911238
787	614.7423631
788	614.6960311
789	614.5609719
790	614.4189307
791	614.389133
792	613.9180118
793	613.6655578
794	613.5406354
795	613.3500793
796	613.2501888
797	612.9409668
798	612.7418645
799	612.6624489
800	612.6085435
801	612.3313622
802	611.8666634
803	611.4547956
804	611.3681312
805	610.8987311
806	610.5600766
807	609.6628862
808	609.3597452
809	609.2169675
810	609.0142716
811	608.770576
812	608.6545206
813	608.371598
814	608.2737471
815	608.1257427
816	607.9543231
817	607.889874
818	607.6752462
819	607.1698339
820	607.0966936
821	607.0000526
822	606.9429757
823	606.6669303
824	606.5594648
825	606.3805911
826	606.3246995
827	606.2928628
828	605.9071907
829	605.7646277
830	605.6657126
831	605.4894093
832	605.4246055
833	605.2861649
834	605.2027707
835	605.0324351
836	604.7044546
837	604.5026756
838	604.4287894
839	604.3377667
840	604.235984
841	604.1601489
842	604.1313716
843	604.1140866
844	604.0499849
845	603.9225184
846	603.7372659
847	603.7084563
848	603.5008865
849	603.3245769
850	603.1503663
851	602.9490282
852	602.7568945
853	602.4433082
854	602.4184319
855	602.2794689
856	602.1710852
857	602.0534442
858	601.913105
859	601.8138004
860	601.7637858
861	601.5007731
862	601.4217041
863	601.2953693
864	601.1766565
865	600.9645079
866	600.9246865
867	600.8219492
868	600.6446333
869	600.625343
870	600.5184332
871	600.4377082
872	600.3677891
873	600.2114835
874	599.8565262
875	599.706607
876	599.5748461
877	599.1799691
878	599.1021439
879	599.0395392
880	598.6764965
881	598.5304686
882	598.2988717
883	598.2487742
884	597.829878
885	597.6555598
886	597.6052835
887	597.5365152
888	597.4733849
889	597.0766864
890	596.9162917
891	596.8724215
892	596.8205876
893	596.7046878
894	596.5941337
895	596.5581265
896	596.505967
897	596.3738987
898	595.8511993
899	595.7205374
900	595.3935125
901	595.1624412
902	595.0388849
903	594.9130991
904	594.8703183
905	594.829128
906	594.7879873
907	594.7110618
908	594.5838914
909	594.2361674
910	594.0803967
911	593.8707583
912	593.4766858
913	593.1337222
914	592.989877
915	592.6853653
916	592.6335696
917	592.5644877
918	592.2769239
919	591.6981905
920	591.6190674
921	591.6052973
922	591.4965365
923	591.3361403
924	591.2190871
925	591.1843183
926	591.1570416
927	591.0783854
928	590.9794526
929	590.7568391
930	590.7417238
931	590.6836491
932	590.457884
933	590.3216906
934	590.1466947
935	590.0119411
936	589.9270706
937	589.8380834
938	589.6919478
939	589.5815201
940	589.4625456
941	589.3990313
942	589.3813435
943	589.3372987
944	589.2498927
945	589.1543323
946	589.0894413
947	588.9812696
948	588.8999132
949	588.8667786
950	588.8594235
951	588.5687595
952	588.5277213
953	588.2633446
954	588.016685
955	587.8324574
956	587.7681063
957	587.5842221
958	587.4170921
959	587.401231
960	587.3387037
961	586.835416
962	586.6988915
963	586.6770583
964	586.5211786
965	586.3806275
966	586.2434007
967	586.1655336
968	586.0342069
969	585.5550315
970	585.4934229
971	585.4811073
972	585.3735392
973	585.1860233
974	585.0023191
975	584.9149082
976	584.871777
977	584.7977095
978	584.6588996
979	584.5988075
980	584.3944869
981	584.21592
982	584.159414
983	583.9200365
984	583.8849029
985	583.4855486
986	583.4697294
987	583.3861062
988	583.3222913
989	582.9218833
990	582.7547423
991	582.6256119
992	582.3755081
993	582.3407193
994	582.071891
995	581.8683
996	581.5961308
997	581.5551832
998	581.4402097
999	581.2037465
