geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,vintage_id,year,name
cities_10,NA,NA,NA,NA,residential_uncat,2,2016,carson
cities_10,NA,NA,NA,NA,residential_uncat,3,2016,carson
cities_10,NA,NA,NA,NA,residential_uncat,4,2016,carson
cities_10,3529714,17304735.0000,5481.0000,4.4452,res_total,1,2016,carson
cities_10,23165122,98888190.6000,5602.0000,3.7120,res_total,2,2016,carson
cities_10,1080720,10354586.0000,5992.0000,3.3484,res_total,3,2016,carson
cities_10,2734540,12137515.0000,6410.0000,2.9356,res_total,4,2016,carson
cities_10,2597934,12386779.0000,5249.0000,4.5107,single_family,1,2016,carson
cities_10,21684416,84655392.6000,5566.0000,3.7073,single_family,2,2016,carson
cities_10,842201,2811012.0000,5669.5000,3.2305,single_family,3,2016,carson
cities_10,1011295,3041750.0000,6394.0000,2.7821,single_family,4,2016,carson
cities_10,NA,NA,NA,NA,uncat,1,2016,carson
cities_10,NA,NA,NA,NA,uncat,2,2016,carson
cities_10,NA,NA,NA,NA,uncat,3,2016,carson
cities_10,NA,NA,NA,NA,uncat,4,2016,carson
cities_100,NA,NA,NA,NA,agriculture,1,2016,camarillo
cities_100,NA,NA,NA,NA,agriculture,2,2016,camarillo
cities_100,NA,NA,NA,NA,agriculture,3,2016,camarillo
cities_100,NA,NA,NA,NA,agriculture,4,2016,camarillo
cities_100,54787,masked,masked,masked,commercial,1,2016,camarillo
cities_100,773833,13232961.0000,30477.0000,8.9142,commercial,2,2016,camarillo
cities_100,1363117,21289035.0000,95118.0000,15.0460,commercial,3,2016,camarillo
cities_100,920466,masked,masked,masked,commercial,4,2016,camarillo
cities_100,NA,NA,NA,NA,condo,1,2016,camarillo
cities_100,1702885,8000737.0000,5360.5000,4.4233,condo,2,2016,camarillo
cities_100,3468056,15888751.0000,5569.0000,4.2710,condo,3,2016,camarillo
cities_100,1869681,7173677.0000,5295.0000,3.3367,condo,4,2016,camarillo
cities_100,44318,masked,masked,masked,industrial,1,2016,camarillo
cities_100,806134,masked,masked,masked,industrial,2,2016,camarillo
cities_100,4663303,masked,masked,masked,industrial,3,2016,camarillo
cities_100,2866810,44003787.0000,41650.0000,4.7833,industrial,4,2016,camarillo
cities_100,NA,NA,NA,NA,institutional,1,2016,camarillo
cities_100,2122,masked,masked,masked,institutional,2,2016,camarillo
cities_100,23667,masked,masked,masked,institutional,3,2016,camarillo
cities_100,0,masked,masked,masked,institutional,4,2016,camarillo
cities_100,47382,masked,masked,masked,multi_family,1,2016,camarillo
cities_100,736854,3148104.0000,8036.0000,4.2424,multi_family,2,2016,camarillo
cities_100,896423,3239553.0000,281213.0000,3.9765,multi_family,3,2016,camarillo
cities_100,529133,masked,masked,masked,multi_family,4,2016,camarillo
cities_100,NA,NA,NA,NA,other,1,2016,camarillo
cities_100,56714,192781.0000,6654.5000,3.5896,other,2,2016,camarillo
cities_100,172401,masked,masked,masked,other,3,2016,camarillo
cities_100,103722,275551.0000,6820.0000,2.6836,other,4,2016,camarillo
cities_100,1629,masked,masked,masked,residential_other,1,2016,camarillo
cities_100,17561,masked,masked,masked,residential_other,2,2016,camarillo
cities_100,69028,masked,masked,masked,residential_other,3,2016,camarillo
cities_100,5447,masked,masked,masked,residential_other,4,2016,camarillo
cities_100,NA,NA,NA,NA,residential_uncat,1,2016,camarillo
cities_100,NA,masked,masked,masked,residential_uncat,2,2016,camarillo
cities_100,NA,masked,masked,masked,residential_uncat,3,2016,camarillo
cities_100,NA,masked,masked,masked,residential_uncat,4,2016,camarillo
cities_100,223044,1057995.0000,5927.0000,4.0746,res_total,1,2016,camarillo
cities_100,13420130,50767204.7500,5728.0000,3.5518,res_total,2,2016,camarillo
cities_100,12596957,46817937.0000,5782.0000,3.4907,res_total,3,2016,camarillo
cities_100,13125873,43142845.5000,6643.0000,2.9383,res_total,4,2016,camarillo
cities_100,174033,846148.0000,5797.0000,4.0926,single_family,1,2016,camarillo
cities_100,10962830,39186432.7500,5765.0000,3.4018,single_family,2,2016,camarillo
cities_100,8163450,27506564.0000,5947.0000,3.1774,single_family,3,2016,camarillo
cities_100,10721612,32416377.5000,7168.5000,2.8333,single_family,4,2016,camarillo
cities_100,NA,NA,NA,NA,uncat,1,2016,camarillo
cities_100,NA,NA,NA,NA,uncat,2,2016,camarillo
cities_100,NA,NA,NA,NA,uncat,3,2016,camarillo
cities_100,NA,NA,NA,NA,uncat,4,2016,camarillo
cities_101,NA,NA,NA,NA,agriculture,1,2016,fillmore
cities_101,NA,NA,NA,NA,agriculture,2,2016,fillmore
cities_101,NA,NA,NA,NA,agriculture,3,2016,fillmore
cities_101,NA,NA,NA,NA,agriculture,4,2016,fillmore
cities_101,67746,masked,masked,masked,commercial,1,2016,fillmore
cities_101,112559,1656665.0000,23126.0000,12.3130,commercial,2,2016,fillmore
cities_101,71995,masked,masked,masked,commercial,3,2016,fillmore
cities_101,178074,masked,masked,masked,commercial,4,2016,fillmore
cities_101,NA,masked,masked,masked,condo,1,2016,fillmore
cities_101,23982,masked,masked,masked,condo,2,2016,fillmore
cities_101,80460,masked,masked,masked,condo,3,2016,fillmore
cities_101,128717,451054.0000,5773.0000,3.4225,condo,4,2016,fillmore
cities_101,86210,masked,masked,masked,industrial,1,2016,fillmore
cities_101,43539,masked,masked,masked,industrial,2,2016,fillmore
cities_101,98930,masked,masked,masked,industrial,3,2016,fillmore
cities_101,3592,masked,masked,masked,industrial,4,2016,fillmore
cities_101,2967,masked,masked,masked,institutional,1,2016,fillmore
cities_101,NA,NA,NA,NA,institutional,2,2016,fillmore
cities_101,NA,NA,NA,NA,institutional,3,2016,fillmore
cities_101,NA,NA,NA,NA,institutional,4,2016,fillmore
cities_101,218825,982592.5000,6894.0000,4.2781,multi_family,1,2016,fillmore
cities_101,152851,masked,masked,masked,multi_family,2,2016,fillmore
cities_101,114817,masked,masked,masked,multi_family,3,2016,fillmore
cities_101,78779,masked,masked,masked,multi_family,4,2016,fillmore
cities_101,1218,masked,masked,masked,other,1,2016,fillmore
cities_101,4483,masked,masked,masked,other,2,2016,fillmore
cities_101,2651,masked,masked,masked,other,3,2016,fillmore
cities_101,19572,masked,masked,masked,other,4,2016,fillmore
cities_101,NA,NA,NA,NA,residential_other,1,2016,fillmore
cities_101,NA,NA,NA,NA,residential_other,2,2016,fillmore
cities_101,1344,masked,masked,masked,residential_other,3,2016,fillmore
cities_101,6797,masked,masked,masked,residential_other,4,2016,fillmore
cities_101,NA,NA,NA,NA,residential_uncat,1,2016,fillmore
cities_101,NA,masked,masked,masked,residential_uncat,2,2016,fillmore
cities_101,NA,masked,masked,masked,residential_uncat,3,2016,fillmore
cities_101,NA,NA,NA,NA,residential_uncat,4,2016,fillmore
cities_101,856797,4213509.5000,6173.0000,4.8600,res_total,1,2016,fillmore
cities_101,1778121,8203436.0000,5963.5000,4.4151,res_total,2,2016,fillmore
cities_101,779037,3333522.5000,5880.0000,4.1907,res_total,3,2016,fillmore
cities_101,1830160,6674912.0000,6714.5000,3.3701,res_total,4,2016,fillmore
cities_101,637972,3230917.0000,5829.5000,4.9134,single_family,1,2016,fillmore
cities_101,1601288,7424722.0000,5896.0000,4.4243,single_family,2,2016,fillmore
cities_101,582416,2438783.0000,6008.5000,3.9761,single_family,3,2016,fillmore
cities_101,1615867,5631626.0000,6810.0000,3.3522,single_family,4,2016,fillmore
cities_101,NA,NA,NA,NA,uncat,1,2016,fillmore
cities_101,NA,NA,NA,NA,uncat,2,2016,fillmore
cities_101,NA,NA,NA,NA,uncat,3,2016,fillmore
cities_101,NA,NA,NA,NA,uncat,4,2016,fillmore
cities_102,NA,NA,NA,NA,agriculture,1,2016,moorpark
cities_102,NA,NA,NA,NA,agriculture,2,2016,moorpark
cities_102,NA,NA,NA,NA,agriculture,3,2016,moorpark
cities_102,NA,NA,NA,NA,agriculture,4,2016,moorpark
cities_102,9520,masked,masked,masked,commercial,1,2016,moorpark
cities_102,77024,masked,masked,masked,commercial,2,2016,moorpark
cities_102,221438,2716832.0000,57476.0000,10.1934,commercial,3,2016,moorpark
cities_102,826074,masked,masked,masked,commercial,4,2016,moorpark
cities_102,NA,NA,NA,NA,condo,1,2016,moorpark
cities_102,NA,NA,NA,NA,condo,2,2016,moorpark
cities_102,655412,3607781.0000,5790.0000,4.6466,condo,3,2016,moorpark
cities_102,978175,3362827.0000,4756.0000,3.2683,condo,4,2016,moorpark
cities_102,NA,NA,NA,NA,industrial,1,2016,moorpark
cities_102,55332,masked,masked,masked,industrial,2,2016,moorpark
cities_102,1775627,masked,masked,masked,industrial,3,2016,moorpark
cities_102,955918,masked,masked,masked,industrial,4,2016,moorpark
cities_102,2308,masked,masked,masked,institutional,1,2016,moorpark
cities_102,4924,masked,masked,masked,institutional,2,2016,moorpark
cities_102,66722,masked,masked,masked,institutional,3,2016,moorpark
cities_102,43341,masked,masked,masked,institutional,4,2016,moorpark
cities_102,25630,masked,masked,masked,multi_family,1,2016,moorpark
cities_102,21215,masked,masked,masked,multi_family,2,2016,moorpark
cities_102,244979,2296954.0000,286939.5000,3.9274,multi_family,3,2016,moorpark
cities_102,173873,263247.0000,131623.5000,1.7375,multi_family,4,2016,moorpark
cities_102,NA,NA,NA,NA,other,1,2016,moorpark
cities_102,4005,masked,masked,masked,other,2,2016,moorpark
cities_102,23280,masked,masked,masked,other,3,2016,moorpark
cities_102,7493,masked,masked,masked,other,4,2016,moorpark
cities_102,NA,NA,NA,NA,residential_other,1,2016,moorpark
cities_102,NA,NA,NA,NA,residential_other,2,2016,moorpark
cities_102,8786,masked,masked,masked,residential_other,3,2016,moorpark
cities_102,19267,masked,masked,masked,residential_other,4,2016,moorpark
cities_102,NA,masked,masked,masked,residential_uncat,1,2016,moorpark
cities_102,NA,masked,masked,masked,residential_uncat,2,2016,moorpark
cities_102,NA,masked,masked,masked,residential_uncat,3,2016,moorpark
cities_102,NA,masked,masked,masked,residential_uncat,4,2016,moorpark
cities_102,136371,761601.5000,6011.0000,5.6719,res_total,1,2016,moorpark
cities_102,1542412,7153683.0000,5876.5000,4.4383,res_total,2,2016,moorpark
cities_102,10749248,40930770.5000,6859.0000,3.5378,res_total,3,2016,moorpark
cities_102,7911183,23841691.0000,7382.0000,2.9622,res_total,4,2016,moorpark
cities_102,110741,683800.5000,6435.0000,5.8153,single_family,1,2016,moorpark
cities_102,1521197,7088205.0000,5883.0000,4.4391,single_family,2,2016,moorpark
cities_102,9840071,34980938.5000,6987.5000,3.4373,single_family,3,2016,moorpark
cities_102,6739868,20143747.0000,8370.0000,2.8875,single_family,4,2016,moorpark
cities_102,NA,NA,NA,NA,uncat,1,2016,moorpark
cities_102,NA,NA,NA,NA,uncat,2,2016,moorpark
cities_102,NA,NA,NA,NA,uncat,3,2016,moorpark
cities_102,NA,NA,NA,NA,uncat,4,2016,moorpark
cities_103,NA,NA,NA,NA,agriculture,1,2016,ojai
cities_103,NA,NA,NA,NA,agriculture,2,2016,ojai
cities_103,NA,NA,NA,NA,agriculture,3,2016,ojai
cities_103,NA,NA,NA,NA,agriculture,4,2016,ojai
cities_103,90204,masked,masked,masked,commercial,1,2016,ojai
cities_103,286587,masked,masked,masked,commercial,2,2016,ojai
cities_103,91938,masked,masked,masked,commercial,3,2016,ojai
cities_103,141384,1187633.0000,42371.5000,7.9683,commercial,4,2016,ojai
cities_103,1128,masked,masked,masked,condo,1,2016,ojai
cities_103,112515,masked,masked,masked,condo,2,2016,ojai
cities_103,25311,masked,masked,masked,condo,3,2016,ojai
cities_103,69815,masked,masked,masked,condo,4,2016,ojai
cities_103,17992,masked,masked,masked,industrial,1,2016,ojai
cities_103,25442,masked,masked,masked,industrial,2,2016,ojai
cities_103,129037,masked,masked,masked,industrial,3,2016,ojai
cities_103,52950,masked,masked,masked,industrial,4,2016,ojai
cities_103,NA,NA,NA,NA,institutional,1,2016,ojai
cities_103,NA,NA,NA,NA,institutional,2,2016,ojai
cities_103,NA,NA,NA,NA,institutional,3,2016,ojai
cities_103,NA,NA,NA,NA,institutional,4,2016,ojai
cities_103,100260,412027.0000,7027.0000,3.7065,multi_family,1,2016,ojai
cities_103,177993,751763.0000,8789.5000,3.6959,multi_family,2,2016,ojai
cities_103,32168,masked,masked,masked,multi_family,3,2016,ojai
cities_103,12842,masked,masked,masked,multi_family,4,2016,ojai
cities_103,907,masked,masked,masked,other,1,2016,ojai
cities_103,6300,masked,masked,masked,other,2,2016,ojai
cities_103,NA,NA,NA,NA,other,3,2016,ojai
cities_103,1524,masked,masked,masked,other,4,2016,ojai
cities_103,5923,masked,masked,masked,residential_other,1,2016,ojai
cities_103,4360,masked,masked,masked,residential_other,2,2016,ojai
cities_103,1344,masked,masked,masked,residential_other,3,2016,ojai
cities_103,6980,masked,masked,masked,residential_other,4,2016,ojai
cities_103,NA,NA,NA,NA,residential_uncat,1,2016,ojai
cities_103,NA,masked,masked,masked,residential_uncat,2,2016,ojai
cities_103,NA,NA,NA,NA,residential_uncat,3,2016,ojai
cities_103,NA,NA,NA,NA,residential_uncat,4,2016,ojai
cities_103,723446,3746287.0000,5642.0000,4.1257,res_total,1,2016,ojai
cities_103,2316277,9830958.0000,5853.0000,3.8322,res_total,2,2016,ojai
cities_103,614711,2225198.0000,6925.0000,3.1345,res_total,3,2016,ojai
cities_103,439409,1601389.0000,7489.5000,3.3771,res_total,4,2016,ojai
cities_103,616135,2826945.0000,5589.0000,4.1737,single_family,1,2016,ojai
cities_103,2021409,8541921.5000,5873.0000,3.8863,single_family,2,2016,ojai
cities_103,555888,2022578.0000,7282.0000,3.1599,single_family,3,2016,ojai
cities_103,349772,1300859.0000,7693.0000,3.3859,single_family,4,2016,ojai
cities_103,NA,NA,NA,NA,uncat,1,2016,ojai
cities_103,NA,NA,NA,NA,uncat,2,2016,ojai
cities_103,NA,NA,NA,NA,uncat,3,2016,ojai
cities_103,NA,NA,NA,NA,uncat,4,2016,ojai
cities_104,24654,masked,masked,masked,agriculture,1,2016,santa paula
cities_104,NA,NA,NA,NA,agriculture,2,2016,santa paula
cities_104,NA,NA,NA,NA,agriculture,3,2016,santa paula
cities_104,NA,NA,NA,NA,agriculture,4,2016,santa paula
cities_104,330275,masked,masked,masked,commercial,1,2016,santa paula
cities_104,246480,3528460.0000,17237.5000,7.1142,commercial,2,2016,santa paula
cities_104,84133,898641.0000,23929.0000,7.7272,commercial,3,2016,santa paula
cities_104,135030,masked,masked,masked,commercial,4,2016,santa paula
cities_104,NA,masked,masked,masked,condo,1,2016,santa paula
cities_104,149279,983104.0000,6087.0000,6.4840,condo,2,2016,santa paula
cities_104,353320,1580477.0000,4282.0000,3.8378,condo,3,2016,santa paula
