geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap,source,vintage_id,income_quintile,income_range,sqft_id,pop_sqmi,med_income,pct_own,pct_rent,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count,query,postal_code,city,county,neighborhood,lat,lng
cities_100,7041285.0,31072697.0000,5449.5,4.0624,condo,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,9015456.0,121027924.0000,52237,4.9007,industrial,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,198264.0,27756200.0000,54147,32.2843,institutional,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,2697315.0,10424378.0000,8848.5,4.0647,multi_family,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,357554.0,masked,masked,masked,other,2016,camarillo,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,154979.0,4885336.0000,4555,2.7205,residential_other,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,0.0,4932137.3333,,,residential_uncat,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,39994451.0,152487457.5833,5985,3.3739,res_total,2016,camarillo,,65985.0,2310.9412,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,30100872.0,101172909.2500,6150,3.2041,single_family,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,0.0,2281847.0000,,,uncat,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_101,3541.0,masked,masked,masked,agriculture,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
cities_101,482740.0,masked,masked,masked,commercial,2016,fillmore,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"fillmore, CA",93015,Fillmore,Ventura County,,34.3991639,-118.918154
