geo_id,name,pop,pop_sqmi,med_income,pct_own,pct_rent,year,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count
neighborhoods_74,arlington heights,20592,13673.10333,38134.5,0.239212718,0.814685844,2010,4,1.506022408,47172468.75,-8888,2349
neighborhoods_75,artesia,16549,6972.998201,63620.5,0.558681319,0.44043956,2010,1,2.373297615,71454626.25,-8888,4002
neighborhoods_77,atwater village,15455,5945.101947,60725.5,0.476392124,0.584586068,2010,2,2.599619004,86994022.5,-8888,3591
neighborhoods_79,avocado heights,17415,4045.653862,56875,0.743295019,0.257589154,2010,2,4.304619375,91046636.25,-8888,4251
neighborhoods_81,baldwin hills/crenshaw,30249,7188.805621,38959.75,0.436568323,0.703804348,2010,6,4.20779217,107014593.8,-8888,5947
neighborhoods_82,baldwin park,75218,7593.085807,54500.25,0.90080131,0.389775984,2010,15,9.906117474,306768836.3,-8888,15155
neighborhoods_83,bel-air,8025,861.2089394,195227,0.838005215,0.161994785,2010,0,9.318296215,41677721.25,-8888,3577
neighborhoods_84,bell,35132,9434.984222,39652.5,0.395764919,0.706828219,2010,7,3.723588633,150375828.8,-8888,4339
neighborhoods_85,bellflower,76937,8536.598055,60154.25,0.632130678,0.597777123,2010,14,9.012606603,254178727.5,-8888,13175
neighborhoods_86,bell gardens,41963,11608.34839,40034.75,0.350435323,0.757980929,2010,9,3.614898397,115294151.3,-8888,4304
neighborhoods_87,beverly crest,11098,921.3532181,173922,0.889674994,0.109661729,2010,0,12.04532614,39444397.5,-8888,6984
neighborhoods_88,beverly grove,20527,8520.455705,77986,0.299810247,0.731585303,2010,0,2.409143444,90566111.25,-8888,5754
neighborhoods_89,beverly hills,34070,4088.566591,83981.5,0.589369708,0.559064642,2010,0,8.332993787,154884382.5,-8888,10055
neighborhoods_90,beverlywood,6483,5589.377962,146487.25,0.956110155,0.182013769,2010,0,1.159878621,17277108.75,-8888,2308
neighborhoods_91,boyle heights,90838,9544.286081,33921.25,0.424018436,0.75277186,2010,22,9.51752695,332998237.5,-8888,11378
neighborhoods_93,brentwood,32797,1473.843248,132743,0.710468427,0.463574017,2010,0,22.25270566,104698575,-8888,11325
neighborhoods_94,broadway-manchester,25966,11438.33186,29372.5,0.513207547,0.653459119,2010,5,2.27008626,53318718.75,-8888,4654
neighborhoods_95,burbank,103314,4066.095146,66680.75,0.74819938,0.560076318,2010,7,25.40865284,593267340,-8888,28881
neighborhoods_96,calabasas,25168,927.4130246,106622.5,0.856566318,0.229821117,2010,0,27.1378548,132342172.5,-8888,9445
neighborhoods_97,canoga park,57619,9038.980307,52483.5,0.434889435,0.700566179,2010,5,6.374502216,288642986.3,-8888,8640
neighborhoods_98,carson,91171,3276.641025,65296.25,1.274898193,0.233147511,2010,15,27.82453107,1187933231,-8888,24032
neighborhoods_99,carthay,4843,6569.894842,79610,0.469368954,0.604329802,2010,0,0.737150307,19464615,-8888,1265
neighborhoods_100,castaic,16843,2084.580591,101353,0.90743748,0.09223774,2010,0,8.079802752,70059986.25,-8888,5641
neighborhoods_101,castaic canyons,44730,157.0628544,93462.5,0.842109726,0.177817349,2010,0,284.7904437,122702617.5,-8888,11220
neighborhoods_102,central-alameda,43587,13688.82988,31159.5,0.393652501,0.715330823,2010,10,3.184128987,118860093.8,-8888,5827
neighborhoods_103,century city,5618,5490.265839,80725.25,0.962143086,0.348091113,2010,0,1.023265569,26271307.5,-8888,3092
neighborhoods_105,charter oak,8541,6338.576566,65417,0.628641629,0.371709372,2010,0,1.347463411,41075947.5,-8888,2118
neighborhoods_106,chatsworth,44310,1980.654864,90230.75,0.988231651,0.287767111,2010,0,22.37138878,526512360,-8888,14574
neighborhoods_108,chesterfield square,6820,7384.833262,38790.5,0.622271715,0.508685969,2010,2,0.923514419,40654650,-8888,1850
neighborhoods_109,cheviot hills,8182,3647.418729,133069.25,0.911321312,0.331362696,2010,0,2.243230242,20525122.5,-8888,2439
neighborhoods_110,chinatown,28839,21708.89282,21889.5,0.088530575,0.917858229,2010,3,1.32844177,56019716.25,-8888,1219
neighborhoods_111,citrus,12533,8470.902038,64974,0.602452404,0.397224911,2010,0,1.479535467,37068592.5,-8888,2719
neighborhoods_113,commerce,13809,1438.779063,44765.5,0.667696629,0.531179775,2010,3,9.597720982,760732537.5,-8888,4104
neighborhoods_114,compton,100342,6721.677214,45011,0.900633017,0.43807263,2010,22,14.9281194,606064391.3,-8888,20788
neighborhoods_115,covina,52546,4727.362084,65578,0.783328493,0.40307871,2010,0,11.11528989,337840365,-8888,13809
neighborhoods_116,cudahy,24565,13714.76551,40798,0.221264863,0.817508185,2010,6,1.791135254,61851948.75,-8888,1807
neighborhoods_117,culver city,38198,5042.424229,71393.25,0.681906971,0.468074716,2010,0,7.575324539,207668936.3,-8888,13688
neighborhoods_118,cypress park,9586,9051.842422,48821,0.469737343,0.606014465,2010,3,1.059010923,36904320,-8888,1669
neighborhoods_119,del aire,8829,6127.271891,76061,0.695160721,0.303779583,2010,1,1.440934915,35323616.25,-8888,2835
neighborhoods_120,del rey,32976,9219.876943,68044.5,0.559739931,0.558135608,2010,0,3.576620405,99965403.75,-8888,7664
neighborhoods_121,desert view highlands,2255,3439.623065,58135.5,0.674174174,0.325825826,2010,0,0.655595092,18957828.75,-8888,771
neighborhoods_122,diamond bar,56784,2573.776782,90935,1.223433071,0.18607874,2010,0,22.06251933,234924202.5,-8888,18291
neighborhoods_123,downey,111460,6107.793367,62330,0.858827005,0.495050968,2010,6,18.24881644,523685643.8,-8888,23585
neighborhoods_124,downtown,47909,5620.737407,21147.75,0.189942221,0.883244169,2010,8,8.523614702,464392211.3,-8888,13082
neighborhoods_126,eagle rock,32684,5254.334236,62109.5,0.786574566,0.464576691,2010,0,6.220388451,77242717.5,-8888,8613
neighborhoods_127,east compton,13333,10982.80855,55334.25,0.529390018,0.493530499,2010,2,1.213988201,20657546.25,-8888,2406
neighborhoods_128,east hollywood,78192,22488.23934,32674,0.133450886,0.917770514,2010,18,3.477017423,146161177.5,-8888,5196
neighborhoods_130,east los angeles,125962,11557.73186,38607.25,0.539045447,0.642515068,2010,28,10.89850513,330605670,-8888,19371
neighborhoods_131,east pasadena,5687,2971.199241,94551,0.689428427,0.310065756,2010,0,1.914041953,22184051.25,-8888,2101
neighborhoods_132,east san gabriel,21523,6741.585153,65173.5,0.58957927,0.433825578,2010,0,3.192572594,68075865,-8888,5595
neighborhoods_133,echo park,43832,12506.37023,40519.25,0.356591494,0.760102921,2010,8,3.504773904,50351197.5,-8888,6315
neighborhoods_134,elizabeth lake,1379,147.5944117,94518,0.831858407,0.171091445,2010,0,9.343172173,11124153.75,-8888,2005
neighborhoods_135,el monte,109955,7764.352462,48576.25,0.675046348,0.579644049,2010,24,14.16151579,445937816.3,-8888,18320
neighborhoods_139,elysian valley,7338,6355.255485,54179.75,0.643911439,0.511531365,2010,2,1.154634934,21397890,-8888,1634
neighborhoods_140,encino,41723,3000.165727,72306.5,0.911792744,0.373633152,2010,0,13.90689842,149160547.5,-8888,15536
neighborhoods_141,exposition park,34029,12627.14571,32073.25,0.470458368,0.718881413,2010,7,2.694908318,65682180,-8888,4878
neighborhoods_142,fairfax,12602,6988.363721,73640,0.350645055,0.722957327,2010,0,1.803283358,69709091.25,-8888,3083
neighborhoods_143,florence,49158,12053.55498,29890.5,0.554112554,0.670562771,2010,13,4.078298899,171570892.5,-8888,7786
neighborhoods_144,florence-firestone,62152,11913.06976,34721.25,0.562852745,0.633731584,2010,13,5.217127176,140899987.5,-8888,9990
neighborhoods_145,gardena,58703,6904.050964,52450.25,0.718187582,0.520704287,2010,10,8.502689262,392139690,-8888,14055
neighborhoods_147,glendale,191049,4257.95957,59414.75,0.637680556,0.61783846,2010,23,44.86867404,672045189.6,-8888,44417
neighborhoods_148,glendora,52468,1834.439384,75802,1.162706083,0.276691302,2010,0,28.6016537,328857341.3,-8888,16083
neighborhoods_150,granada hills,52928,2384.694282,73352.5,1.202007528,0.297764344,2010,0,22.19487856,255166597.5,-8888,15468
neighborhoods_151,green meadows,33396,10328.41143,35495.5,0.665296974,0.554849956,2010,8,3.233411085,80638800,-8888,6458
neighborhoods_152,green valley,754,195.5089625,84484.5,0.787878788,0.212121212,2010,0,3.856600691,0,-8888,1351
neighborhoods_154,hacienda heights,52773,3043.781658,77528.75,1.131344416,0.217622148,2010,5,17.33797162,156677970,-8888,15966
neighborhoods_155,hancock park,10290,4639.318791,105853.25,0.57008547,0.551282051,2010,0,2.217998043,39519270,-8888,3088
neighborhoods_157,harbor city,23823,6358.345664,47880.5,0.519840776,0.510511258,2010,3,3.7467293,97916467.5,-8888,5407
neighborhoods_158,harbor gateway,39900,5337.87538,59610.5,0.459725793,0.596743787,2010,8,7.474884136,367818978.8,-8888,7347
neighborhoods_159,harvard heights,19042,16469.12148,26602.75,0.21663837,0.833616299,2010,5,1.156224394,37140671.25,-8888,2013
neighborhoods_160,harvard park,10644,11394.53352,35704,0.702898551,0.487922705,2010,1,0.934132142,27335167.5,-8888,2479
neighborhoods_161,hasley canyon,1513,330.6251322,114148,0.926267281,0.071428571,2010,0,4.576179644,9468577.5,-8888,315
neighborhoods_162,hawaiian gardens,14303,9994.615988,66829,0.45444351,0.546117185,2010,1,1.43107049,43251161.25,-8888,2630
neighborhoods_163,hawthorne,88513,9760.713903,48635,0.396049299,0.723822387,2010,13,9.068291611,392935908.8,-8888,13234
neighborhoods_164,hermosa beach,19434,9045.735051,96288.75,0.584707489,0.554353534,2010,0,2.148415788,71789317.5,-8888,7115
neighborhoods_165,hidden hills,1875,751.4553372,143929,0.929606625,0.072463768,2010,0,2.495158271,8455563.75,-8888,782
neighborhoods_166,highland park,53357,10668.43597,49607,0.583921277,0.606634484,2010,0,5.001389159,104569503.8,-8888,9936
neighborhoods_167,historic south-central,48926,13130.47932,27034.5,0.38322308,0.79015068,2010,11,3.726139678,170099703.8,-8888,5965
neighborhoods_168,hollywood,85489,16687.78943,37517,0.109137056,0.915897554,2010,14,5.122847477,223254150,-8888,8462
neighborhoods_169,hollywood hills,22267,2159.544742,70067,0.644119784,0.581483574,2010,0,10.31096951,40739021.25,-8888,8998
neighborhoods_170,hollywood hills west,15740,2207.944292,102151,0.848881281,0.376818682,2010,0,7.128803047,50698740,-8888,8799
neighborhoods_171,huntington park,59824,13521.55665,38242.75,0.397637007,0.728389293,2010,18,4.424342665,194522666.3,-8888,7666
neighborhoods_172,hyde park,36781,8744.404039,42488.5,0.643619092,0.561317449,2010,8,4.206232905,117606817.5,-8888,8769
neighborhoods_174,inglewood,111523,8389.717587,45743,0.601828739,0.63202735,2010,16,13.29281932,420200673.8,-8888,21473
neighborhoods_175,irwindale,2066,147.4209472,57177,0.673469388,0.330241187,2010,1,14.01429064,227895686.3,-8888,1127
neighborhoods_176,jefferson park,24392,11776.41039,33400,0.374296787,0.716339542,2010,7,2.071259339,54594903.75,-8888,3651
neighborhoods_177,koreatown,124281,31503.33648,35717.25,0.122843538,0.929174742,2010,9,3.945010716,162282791.3,-8888,7509
neighborhoods_179,la crescenta-montrose,19368,3853.862173,82717.75,0.80593343,0.357163531,2010,0,5.025607852,80309696.25,-8888,6197
neighborhoods_181,la habra heights,6494,715.6263896,113264.5,1.142332415,0.065197429,2010,0,9.074567532,27413392.5,-8888,2492
neighborhoods_182,lake balboa,25648,5598.260554,65683.5,0.929655812,0.349287287,2010,3,4.58142306,82662592.5,-8888,7733
neighborhoods_183,lake hughes,571,41.04537595,73933,0.659574468,0.333333333,2010,0,13.91143306,0,-8888,819
neighborhoods_184,lake los angeles,11141,1081.739967,53026,0.721912351,0.278087649,2010,0,10.29914798,94339908.75,-8888,4531
neighborhoods_185,lake view terrace,12941,2082.921416,73395.5,1.063161076,0.25294651,2010,2,6.212908417,44922941.25,-8888,2935
